medicine_name,used_for
Levocetirizine 5,एलर्जी और छींक में राहत के लिए
Cetirizine 5,एलर्जी और खुजली में उपयोगी
Pantoprazole 5,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 5,पेट की गैस और जलन में राहत
Omeprazole 5,अम्लता में राहत के लिए
Dolo 5,बुखार और दर्द में उपयोगी
Calpol 5,बच्चों के बुखार और दर्द के लिए
ORS 5,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 5,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 5,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 5,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 5,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 5,हड्डियों की मजबूती के लिए
Calcium 5,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 5,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 5,दमा और सांस की तकलीफ में राहत
Betadine 5,घावों को साफ़ करने के लिए
Domperidone 5,उल्टी और मतली में राहत के लिए
Diclofenac 5,दर्द और सूजन में उपयोगी
Paracetamol 6,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 6,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 6,सूजन और दर्द में राहत के लिए
Ciprofloxacin 6,संक्रमण के इलाज में उपयोगी
Metronidazole 6,दस्त और संक्रमण में उपयोगी
Azithromycin 6,गले और छाती के संक्रमण के लिए
Levocetirizine 6,एलर्जी और छींक में राहत के लिए
Cetirizine 6,एलर्जी और खुजली में उपयोगी
Pantoprazole 6,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 6,पेट की गैस और जलन में राहत
Omeprazole 6,अम्लता में राहत के लिए
Dolo 6,बुखार और दर्द में उपयोगी
Calpol 6,बच्चों के बुखार और दर्द के लिए
ORS 6,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 6,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 6,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 6,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 6,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 6,हड्डियों की मजबूती के लिए
Calcium 6,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 6,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 6,दमा और सांस की तकलीफ में राहत
Betadine 6,घावों को साफ़ करने के लिए
Domperidone 6,उल्टी और मतली में राहत के लिए
Diclofenac 6,दर्द और सूजन में उपयोगी
Paracetamol 7,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 7,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 7,सूजन और दर्द में राहत के लिए
Ciprofloxacin 7,संक्रमण के इलाज में उपयोगी
Metronidazole 7,दस्त और संक्रमण में उपयोगी
Azithromycin 7,गले और छाती के संक्रमण के लिए
Levocetirizine 7,एलर्जी और छींक में राहत के लिए
Cetirizine 7,एलर्जी और खुजली में उपयोगी
Pantoprazole 7,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 7,पेट की गैस और जलन में राहत
Omeprazole 7,अम्लता में राहत के लिए
Dolo 7,बुखार और दर्द में उपयोगी
Calpol 7,बच्चों के बुखार और दर्द के लिए
ORS 7,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 7,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 7,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 7,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 7,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 7,हड्डियों की मजबूती के लिए
Calcium 7,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 7,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 7,दमा और सांस की तकलीफ में राहत
Betadine 7,घावों को साफ़ करने के लिए
Domperidone 7,उल्टी और मतली में राहत के लिए
Diclofenac 7,दर्द और सूजन में उपयोगी
Paracetamol 8,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 8,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 8,सूजन और दर्द में राहत के लिए
Ciprofloxacin 8,संक्रमण के इलाज में उपयोगी
Metronidazole 8,दस्त और संक्रमण में उपयोगी
Azithromycin 8,गले और छाती के संक्रमण के लिए
Levocetirizine 8,एलर्जी और छींक में राहत के लिए
Cetirizine 8,एलर्जी और खुजली में उपयोगी
Pantoprazole 8,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 8,पेट की गैस और जलन में राहत
Omeprazole 8,अम्लता में राहत के लिए
Dolo 8,बुखार और दर्द में उपयोगी
Calpol 8,बच्चों के बुखार और दर्द के लिए
ORS 8,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 8,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 8,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 8,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 8,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 8,हड्डियों की मजबूती के लिए
Calcium 8,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 8,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 8,दमा और सांस की तकलीफ में राहत
Betadine 8,घावों को साफ़ करने के लिए
Domperidone 8,उल्टी और मतली में राहत के लिए
Diclofenac 8,दर्द और सूजन में उपयोगी
Paracetamol 9,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 9,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 9,सूजन और दर्द में राहत के लिए
Ciprofloxacin 9,संक्रमण के इलाज में उपयोगी
Metronidazole 9,दस्त और संक्रमण में उपयोगी
Azithromycin 9,गले और छाती के संक्रमण के लिए
Levocetirizine 9,एलर्जी और छींक में राहत के लिए
Cetirizine 9,एलर्जी और खुजली में उपयोगी
Pantoprazole 9,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 9,पेट की गैस और जलन में राहत
Omeprazole 9,अम्लता में राहत के लिए
Dolo 9,बुखार और दर्द में उपयोगी
Calpol 9,बच्चों के बुखार और दर्द के लिए
ORS 9,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 9,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 9,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 9,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 9,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 9,हड्डियों की मजबूती के लिए
Calcium 9,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 9,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 9,दमा और सांस की तकलीफ में राहत
Betadine 9,घावों को साफ़ करने के लिए
Domperidone 9,उल्टी और मतली में राहत के लिए
Diclofenac 9,दर्द और सूजन में उपयोगी
Paracetamol 10,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 10,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 10,सूजन और दर्द में राहत के लिए
Ciprofloxacin 10,संक्रमण के इलाज में उपयोगी
Metronidazole 10,दस्त और संक्रमण में उपयोगी
Azithromycin 10,गले और छाती के संक्रमण के लिए
Levocetirizine 10,एलर्जी और छींक में राहत के लिए
Cetirizine 10,एलर्जी और खुजली में उपयोगी
Pantoprazole 10,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 10,पेट की गैस और जलन में राहत
Omeprazole 10,अम्लता में राहत के लिए
Dolo 10,बुखार और दर्द में उपयोगी
Calpol 10,बच्चों के बुखार और दर्द के लिए
ORS 10,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 10,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 10,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 10,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 10,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 10,हड्डियों की मजबूती के लिए
Calcium 10,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 10,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 10,दमा और सांस की तकलीफ में राहत
Betadine 10,घावों को साफ़ करने के लिए
Domperidone 10,उल्टी और मतली में राहत के लिए
Diclofenac 10,दर्द और सूजन में उपयोगी
Paracetamol 11,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 11,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 11,सूजन और दर्द में राहत के लिए
Ciprofloxacin 11,संक्रमण के इलाज में उपयोगी
Metronidazole 11,दस्त और संक्रमण में उपयोगी
Azithromycin 11,गले और छाती के संक्रमण के लिए
Levocetirizine 11,एलर्जी और छींक में राहत के लिए
Cetirizine 11,एलर्जी और खुजली में उपयोगी
Pantoprazole 11,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 11,पेट की गैस और जलन में राहत
Omeprazole 11,अम्लता में राहत के लिए
Dolo 11,बुखार और दर्द में उपयोगी
Calpol 11,बच्चों के बुखार और दर्द के लिए
ORS 11,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 11,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 11,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 11,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 11,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 11,हड्डियों की मजबूती के लिए
Calcium 11,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 11,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 11,दमा और सांस की तकलीफ में राहत
Betadine 11,घावों को साफ़ करने के लिए
Domperidone 11,उल्टी और मतली में राहत के लिए
Diclofenac 11,दर्द और सूजन में उपयोगी
Paracetamol 12,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 12,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 12,सूजन और दर्द में राहत के लिए
Ciprofloxacin 12,संक्रमण के इलाज में उपयोगी
Metronidazole 12,दस्त और संक्रमण में उपयोगी
Azithromycin 12,गले और छाती के संक्रमण के लिए
Levocetirizine 12,एलर्जी और छींक में राहत के लिए
Cetirizine 12,एलर्जी और खुजली में उपयोगी
Pantoprazole 12,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 12,पेट की गैस और जलन में राहत
Omeprazole 12,अम्लता में राहत के लिए
Dolo 12,बुखार और दर्द में उपयोगी
Calpol 12,बच्चों के बुखार और दर्द के लिए
ORS 12,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 12,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 12,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 12,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 12,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 12,हड्डियों की मजबूती के लिए
Calcium 12,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 12,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 12,दमा और सांस की तकलीफ में राहत
Betadine 12,घावों को साफ़ करने के लिए
Domperidone 12,उल्टी और मतली में राहत के लिए
Diclofenac 12,दर्द और सूजन में उपयोगी
Paracetamol 13,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 13,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 13,सूजन और दर्द में राहत के लिए
Ciprofloxacin 13,संक्रमण के इलाज में उपयोगी
Metronidazole 13,दस्त और संक्रमण में उपयोगी
Azithromycin 13,गले और छाती के संक्रमण के लिए
Levocetirizine 13,एलर्जी और छींक में राहत के लिए
Cetirizine 13,एलर्जी और खुजली में उपयोगी
Pantoprazole 13,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 13,पेट की गैस और जलन में राहत
Omeprazole 13,अम्लता में राहत के लिए
Dolo 13,बुखार और दर्द में उपयोगी
Calpol 13,बच्चों के बुखार और दर्द के लिए
ORS 13,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 13,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 13,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 13,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 13,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 13,हड्डियों की मजबूती के लिए
Calcium 13,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 13,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 13,दमा और सांस की तकलीफ में राहत
Betadine 13,घावों को साफ़ करने के लिए
Domperidone 13,उल्टी और मतली में राहत के लिए
Diclofenac 13,दर्द और सूजन में उपयोगी
Paracetamol 14,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 14,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 14,सूजन और दर्द में राहत के लिए
Ciprofloxacin 14,संक्रमण के इलाज में उपयोगी
Metronidazole 14,दस्त और संक्रमण में उपयोगी
Azithromycin 14,गले और छाती के संक्रमण के लिए
Levocetirizine 14,एलर्जी और छींक में राहत के लिए
Cetirizine 14,एलर्जी और खुजली में उपयोगी
Pantoprazole 14,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 14,पेट की गैस और जलन में राहत
Omeprazole 14,अम्लता में राहत के लिए
Dolo 14,बुखार और दर्द में उपयोगी
Calpol 14,बच्चों के बुखार और दर्द के लिए
ORS 14,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 14,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 14,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 14,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 14,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 14,हड्डियों की मजबूती के लिए
Calcium 14,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 14,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 14,दमा और सांस की तकलीफ में राहत
Betadine 14,घावों को साफ़ करने के लिए
Domperidone 14,उल्टी और मतली में राहत के लिए
Diclofenac 14,दर्द और सूजन में उपयोगी
Paracetamol 15,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 15,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 15,सूजन और दर्द में राहत के लिए
Ciprofloxacin 15,संक्रमण के इलाज में उपयोगी
Metronidazole 15,दस्त और संक्रमण में उपयोगी
Azithromycin 15,गले और छाती के संक्रमण के लिए
Levocetirizine 15,एलर्जी और छींक में राहत के लिए
Cetirizine 15,एलर्जी और खुजली में उपयोगी
Pantoprazole 15,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 15,पेट की गैस और जलन में राहत
Omeprazole 15,अम्लता में राहत के लिए
Dolo 15,बुखार और दर्द में उपयोगी
Calpol 15,बच्चों के बुखार और दर्द के लिए
ORS 15,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 15,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 15,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 15,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 15,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 15,हड्डियों की मजबूती के लिए
Calcium 15,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 15,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 15,दमा और सांस की तकलीफ में राहत
Betadine 15,घावों को साफ़ करने के लिए
Domperidone 15,उल्टी और मतली में राहत के लिए
Diclofenac 15,दर्द और सूजन में उपयोगी
Paracetamol 16,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 16,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 16,सूजन और दर्द में राहत के लिए
Ciprofloxacin 16,संक्रमण के इलाज में उपयोगी
Metronidazole 16,दस्त और संक्रमण में उपयोगी
Azithromycin 16,गले और छाती के संक्रमण के लिए
Levocetirizine 16,एलर्जी और छींक में राहत के लिए
Cetirizine 16,एलर्जी और खुजली में उपयोगी
Pantoprazole 16,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 16,पेट की गैस और जलन में राहत
Omeprazole 16,अम्लता में राहत के लिए
Dolo 16,बुखार और दर्द में उपयोगी
Calpol 16,बच्चों के बुखार और दर्द के लिए
ORS 16,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 16,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 16,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 16,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 16,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 16,हड्डियों की मजबूती के लिए
Calcium 16,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 16,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 16,दमा और सांस की तकलीफ में राहत
Betadine 16,घावों को साफ़ करने के लिए
Domperidone 16,उल्टी और मतली में राहत के लिए
Diclofenac 16,दर्द और सूजन में उपयोगी
Paracetamol 17,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 17,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 17,सूजन और दर्द में राहत के लिए
Ciprofloxacin 17,संक्रमण के इलाज में उपयोगी
Metronidazole 17,दस्त और संक्रमण में उपयोगी
Azithromycin 17,गले और छाती के संक्रमण के लिए
Levocetirizine 17,एलर्जी और छींक में राहत के लिए
Cetirizine 17,एलर्जी और खुजली में उपयोगी
Pantoprazole 17,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 17,पेट की गैस और जलन में राहत
Omeprazole 17,अम्लता में राहत के लिए
Dolo 17,बुखार और दर्द में उपयोगी
Calpol 17,बच्चों के बुखार और दर्द के लिए
ORS 17,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 17,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 17,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 17,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 17,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 17,हड्डियों की मजबूती के लिए
Calcium 17,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 17,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 17,दमा और सांस की तकलीफ में राहत
Betadine 17,घावों को साफ़ करने के लिए
Domperidone 17,उल्टी और मतली में राहत के लिए
Diclofenac 17,दर्द और सूजन में उपयोगी
Paracetamol 18,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 18,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 18,सूजन और दर्द में राहत के लिए
Ciprofloxacin 18,संक्रमण के इलाज में उपयोगी
Metronidazole 18,दस्त और संक्रमण में उपयोगी
Azithromycin 18,गले और छाती के संक्रमण के लिए
Levocetirizine 18,एलर्जी और छींक में राहत के लिए
Cetirizine 18,एलर्जी और खुजली में उपयोगी
Pantoprazole 18,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 18,पेट की गैस और जलन में राहत
Omeprazole 18,अम्लता में राहत के लिए
Dolo 18,बुखार और दर्द में उपयोगी
Calpol 18,बच्चों के बुखार और दर्द के लिए
ORS 18,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 18,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 18,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 18,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 18,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 18,हड्डियों की मजबूती के लिए
Calcium 18,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 18,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 18,दमा और सांस की तकलीफ में राहत
Betadine 18,घावों को साफ़ करने के लिए
Domperidone 18,उल्टी और मतली में राहत के लिए
Diclofenac 18,दर्द और सूजन में उपयोगी
Paracetamol 19,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 19,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 19,सूजन और दर्द में राहत के लिए
Ciprofloxacin 19,संक्रमण के इलाज में उपयोगी
Metronidazole 19,दस्त और संक्रमण में उपयोगी
Azithromycin 19,गले और छाती के संक्रमण के लिए
Levocetirizine 19,एलर्जी और छींक में राहत के लिए
Cetirizine 19,एलर्जी और खुजली में उपयोगी
Pantoprazole 19,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 19,पेट की गैस और जलन में राहत
Omeprazole 19,अम्लता में राहत के लिए
Dolo 19,बुखार और दर्द में उपयोगी
Calpol 19,बच्चों के बुखार और दर्द के लिए
ORS 19,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 19,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 19,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 19,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 19,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 19,हड्डियों की मजबूती के लिए
Calcium 19,हड्डियों और दाँतों की मजबूती के लिए
